viscosity_mPas;replicate;entered_on;instrument;temperature_C;product_concentration_mg_mL;product;protein_format;molecular_weight_kDa;extinction_coefficient_L_molcm;isoelectric_point
3.93;1;15.03.2019;VISCOSIMETER_02;2;10;BI655300;IgG2;148830;220.42;8.54
4.28;2;16.03.2019;VISCOSIMETER_02;2;10;BI655300;IgG2;148830;220.42;8.54
3.42;1;15.03.2019;VISCOSIMETER_02;5;10;BI655300;IgG2;148830;220.42;8.54
3.69;2;15.03.2019;VISCOSIMETER_02;5;10;BI655300;IgG2;148830;220.42;8.54
2.89;1;15.03.2019;VISCOSIMETER_02;10;10;BI655300;IgG2;148830;220.42;8.54
3.13;2;15.03.2019;VISCOSIMETER_02;10;10;BI655300;IgG2;148830;220.42;8.54
2.52;1;15.03.2019;VISCOSIMETER_02;15;10;BI655300;IgG2;148830;220.42;8.54
2.74;2;15.03.2019;VISCOSIMETER_02;15;10;BI655300;IgG2;148830;220.42;8.54
1.97;1;15.03.2019;VISCOSIMETER_02;20;10;BI655300;IgG2;148830;220.42;8.54
2.24;2;15.03.2019;VISCOSIMETER_02;20;10;BI655300;IgG2;148830;220.42;8.54
1.88;1;15.03.2019;VISCOSIMETER_02;25;10;BI655300;IgG2;148830;220.42;8.54
1.93;2;15.03.2019;VISCOSIMETER_02;25;10;BI655300;IgG2;148830;220.42;8.54
1.56;1;15.03.2019;VISCOSIMETER_02;30;10;BI655300;IgG2;148830;220.42;8.54
1.71;2;15.03.2019;VISCOSIMETER_02;30;10;BI655300;IgG2;148830;220.42;8.54
1.45;1;15.03.2019;VISCOSIMETER_02;35;10;BI655300;IgG2;148830;220.42;8.54
1.66;2;15.03.2019;VISCOSIMETER_02;35;10;BI655300;IgG2;148830;220.42;8.54
1.63;1;15.03.2019;VISCOSIMETER_02;40;10;BI655300;IgG2;148830;220.42;8.54
1.93;2;15.03.2019;VISCOSIMETER_02;40;10;BI655300;IgG2;148830;220.42;8.54
5.82;1;15.03.2019;VISCOSIMETER_02;2;62.5;BI655300;IgG2;148830;220.42;8.54
6.72;2;15.03.2019;VISCOSIMETER_02;2;62.5;BI655300;IgG2;148830;220.42;8.54
5.27;1;15.03.2019;VISCOSIMETER_02;5;62.5;BI655300;IgG2;148830;220.42;8.54
